StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Alabama ,AL,District,Yes,,,,,Acceleration Day and Evening Academy,Charter agency,0100197,800,331,Quarterly,8/11/20,10/12/20,In-person,,,,In-person and virtual,,,,116,0,215,,
Alabama ,AL,District,Yes,,,,,Acceleration Day and Evening Academy,Charter agency,0100197,800,331,Quarterly,10/13/20,12/31/20,In-person,,,,In-person and virtual,,,,149,0,182,,
Alabama ,AL,District,Yes,,,,,Acceleration Day and Evening Academy,Charter agency,0100197,800,331,Quarterly,1/1/21,3/13/21,In-person,,,,In-person and virtual,,,,199,0,132,,
Alabama ,AL,District,Yes,,,,,Acceleration Day and Evening Academy,Charter agency,0100197,800,331,Quarterly,3/14/21,5/21/21,In-person,,,,In-person and virtual,,,,215,0,116,,
Alabama ,AL,District,No,,,,,Alabaster City,Regular local school district,0100190,103,6083,Quarterly,8/19/20,10/20/20,In-person,,,,In-person and virtual,,,,4623,0,1460,,
Alabama ,AL,District,No,,,,,Alabaster City,Regular local school district,0100190,103,6083,Quarterly,10/21/20,12/31/20,In-person,,,,In-person and virtual,,,,5171,0,912,,
Alabama ,AL,District,No,,,,,Alabaster City,Regular local school district,0100190,103,6083,Quarterly,1/1/21,3/13/21,In-person,,,,In-person and virtual,,,,5231,0,852,,
Alabama ,AL,District,No,,,,,Alabaster City,Regular local school district,0100190,103,6083,Quarterly,3/14/21,5/21/21,In-person,,,,In-person and virtual,,,,5231,0,852,,
Alabama ,AL,District,No,,,,,Albertville City,Regular local school district,0100005,101,5729,Quarterly,8/24/20,10/25/20,In-person,,,,In-person and virtual,,,,4583,0,1146,,
Alabama ,AL,District,No,,,,,Albertville City,Regular local school district,0100005,101,5729,Quarterly,10/26/20,12/31/20,In-person,,,,In-person and virtual,,,,4698,0,1031,,
Alabama ,AL,District,No,,,,,Albertville City,Regular local school district,0100005,101,5729,Quarterly,1/1/21,3/13/21,In-person,,,,In-person and virtual,,,,4870,0,859,,
Alabama ,AL,District,No,,,,,Albertville City,Regular local school district,0100005,101,5729,Quarterly,3/14/21,5/21/21,In-person,,,,In-person and virtual,,,,4870,0,859,,
Alabama ,AL,District,No,,,,,Alexander City,Regular local school district,0100030,102,2870,Quarterly,9/8/20,11/9/20,Hybrid,,,,"In-person, virtual and blended",,,,2353,14,517,,
Alabama ,AL,District,No,,,,,Alexander City,Regular local school district,0100030,102,2870,Quarterly,11/10/20,12/31/20,Hybrid,,,,"In-person, virtual and blended",,,,230,14,316,,
Alabama ,AL,District,No,,,,,Alexander City,Regular local school district,0100030,102,2870,Quarterly,1/1/21,3/13/21,In-person,,,,In-person and virtual,,,,2612,0,258,,
Alabama ,AL,District,No,,,,,Alexander City,Regular local school district,0100030,102,2870,Quarterly,3/14/21,5/21/21,In-person,,,,In-person and virtual,,,,2612,0,258,,
Alabama ,AL,District,No,,,,,Andalusia City,Regular local school district,0100060,104,1719,Quarterly,8/17/20,10/18/20,In-person,,,,In-person and virtual,,,,1478,0,241,,
Alabama ,AL,District,No,,,,,Andalusia City,Regular local school district,0100060,104,1719,Quarterly,10/19/20,12/31/20,In-person,,,,In-person and virtual,,,,1616,0,103,,
Alabama ,AL,District,No,,,,,Andalusia City,Regular local school district,0100060,104,1719,Quarterly,1/1/21,3/13/21,In-person,,,,In-person and virtual,,,,1685,0,34,,
Alabama ,AL,District,No,,,,,Andalusia City,Regular local school district,0100060,104,1719,Quarterly,3/14/21,5/21/21,In-person,,,,In-person and virtual,,,,1685,0,34,,
Alabama ,AL,District,No,,,,,Anniston City,Regular local school district,0100090,105,1742,Quarterly,9/8/20,11/9/20,In-person,,,,In-person and virtual,,,,1167,0,575,,
Alabama ,AL,District,No,,,,,Anniston City,Regular local school district,0100090,105,1742,Quarterly,11/10/20,12/31/20,In-person,,,,In-person and virtual,,,,1167,0,575,,
Alabama ,AL,District,No,,,,,Anniston City,Regular local school district,0100090,105,1742,Quarterly,1/1/21,3/13/21,Hybrid,,,,Blended,,,,0,1742,0,,
Alabama ,AL,District,No,,,,,Anniston City,Regular local school district,0100090,105,1742,Quarterly,3/14/21,5/21/21,In-person,,,,In-person,,,,1742,0,0,,
Alabama ,AL,District,No,,,,,Arab City,Regular local school district,0100100,106,2504,Quarterly,8/20/20,10/21/20,In-person,,,,In-person and virtual,,,,2078,0,426,,
Alabama ,AL,District,No,,,,,Arab City,Regular local school district,0100100,106,2504,Quarterly,10/22/20,12/31/20,In-person,,,,In-person and virtual,,,,2329,0,175,,
Alabama ,AL,District,No,,,,,Arab City,Regular local school district,0100100,106,2504,Quarterly,1/1/21,3/13/21,In-person,,,,In-person and virtual,,,,2329,0,175,,
Alabama ,AL,District,No,,,,,Arab City,Regular local school district,0100100,106,2504,Quarterly,3/14/21,5/21/21,In-person,,,,In-person and virtual,,,,2354,0,150,,
Alabama ,AL,District,No,,,,,Athens City,Regular local school district,0100120,107,4456,Quarterly,8/17/20,10/18/20,In-person,,,,In-person and virtual,,,,2807,0,1649,,
Alabama ,AL,District,No,,,,,Athens City,Regular local school district,0100120,107,4456,Quarterly,10/19/20,12/31/20,In-person,,,,In-person and virtual,,,,3609,0,847,,
Alabama ,AL,District,No,,,,,Athens City,Regular local school district,0100120,107,4456,Quarterly,1/1/21,3/13/21,In-person,,,,In-person and virtual,,,,3877,0,579,,
