StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,69,Monthly,8/1/20,8/31/20,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,68,Monthly,9/1/20,9/30/20,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,67,Monthly,10/1/20,10/31/20,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,68,Monthly,11/1/20,11/30/20,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,68,Monthly,12/1/20,12/31/20,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,71,Monthly,1/1/21,1/31/21,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,70,Monthly,2/1/21,2/28/21,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,72,Monthly,3/1/21,3/31/21,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,72,Monthly,4/1/21,4/30/21,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,71,Monthly,5/1/21,5/31/21,In-person,,,,Standard Operation,,,,,,,2,
Alaska,AK,School,No,Alaska REACH Academy,Regular school,020005000023,38010,Alaska Gateway School District,Regular local school district,0200050,3,0,Monthly,6/1/21,6/30/21,,,,,NA,,,,,,,2,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,8,Monthly,8/1/20,8/31/20,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,14,Monthly,9/1/20,9/30/20,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,16,Monthly,10/1/20,10/31/20,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,16,Monthly,11/1/20,11/30/20,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,15,Monthly,12/1/20,12/31/20,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,16,Monthly,1/1/21,1/31/21,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,15,Monthly,2/1/21,2/28/21,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,15,Monthly,3/1/21,3/31/21,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,15,Monthly,4/1/21,4/30/21,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,15,Monthly,5/1/21,5/31/21,In-person,,,,Standard Operation,,,,,,,4,
Alaska,AK,School,No,Dot Lake School,Regular school,020005000024,30010,Alaska Gateway School District,Regular local school district,0200050,3,0,Monthly,6/1/21,6/30/21,,,,,NA,,,,,,,4,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,20,Monthly,8/1/20,8/31/20,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,20,Monthly,9/1/20,9/30/20,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,20,Monthly,10/1/20,10/31/20,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,20,Monthly,11/1/20,11/30/20,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,20,Monthly,12/1/20,12/31/20,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,20,Monthly,1/1/21,1/31/21,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,19,Monthly,2/1/21,2/28/21,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,19,Monthly,3/1/21,3/31/21,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,19,Monthly,4/1/21,4/30/21,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,19,Monthly,5/1/21,5/31/21,In-person,,,,Standard Operation,,,,,,,6,
Alaska,AK,School,No,Eagle Community School,Regular school,020005000025,30020,Alaska Gateway School District,Regular local school district,0200050,3,0,Monthly,6/1/21,6/30/21,,,,,NA,,,,,,,6,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,33,Monthly,8/1/20,8/31/20,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,33,Monthly,9/1/20,9/30/20,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,33,Monthly,10/1/20,10/31/20,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,34,Monthly,11/1/20,11/30/20,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,34,Monthly,12/1/20,12/31/20,,,,,NA,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,36,Monthly,1/1/21,1/31/21,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,35,Monthly,2/1/21,2/28/21,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,34,Monthly,3/1/21,3/31/21,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,36,Monthly,4/1/21,4/30/21,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,36,Monthly,5/1/21,5/31/21,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Mentasta Lake School,Regular school,020005000026,30030,Alaska Gateway School District,Regular local school district,0200050,3,36,Monthly,6/1/21,6/30/21,In-person,,,,Standard Operation,,,,,,,11,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,12,Monthly,8/1/20,8/31/20,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,12,Monthly,9/1/20,9/30/20,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,13,Monthly,10/1/20,10/31/20,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,13,Monthly,11/1/20,11/30/20,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,13,Monthly,12/1/20,12/31/20,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,17,Monthly,1/1/21,1/31/21,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,17,Monthly,2/1/21,2/28/21,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,17,Monthly,3/1/21,3/31/21,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,16,Monthly,4/1/21,4/30/21,In-person,,,,Standard Operation,,,,,,,8,
Alaska,AK,School,No,Tanacross School,Regular school,020005000424,30050,Alaska Gateway School District,Regular local school district,0200050,3,16,Monthly,5/1/21,5/31/21,In-person,,,,Standard Operation,,,,,,,8,
