StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,8/1/20,8/31/20,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,12/1/20,12/31/20,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,1/1/21,1/31/21,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,2/1/21,2/28/21,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,3/1/21,3/31/21,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,4/1/21,4/30/21,,,,,,,,,,,,,
Arizona,AZ,School,Yes,A+ Charter Schools,Regular school,040099803681,1000972,A+ Charter Schools,Charter agency,0400998,1000166,164,Monthly,5/1/21,5/31/21,,,,,,,,,,,,,
Arizona,AZ,School,Yes,Academy Del Sol,Regular school,040079702994,90200,Academy Del Sol Inc. (90199),Charter agency,0400797,90199,155,Monthly,8/1/20,8/31/20,Virtual,,,,Virtual,,,,,,,,
Arizona,AZ,School,Yes,Academy Del Sol,Regular school,040079702994,90200,Academy Del Sol Inc. (90199),Charter agency,0400797,90199,155,Monthly,9/1/20,9/30/20,Virtual,,,,Virtual,,,,,,,,
Arizona,AZ,School,Yes,Academy Del Sol,Regular school,040079702994,90200,Academy Del Sol Inc. (90199),Charter agency,0400797,90199,155,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Arizona,AZ,School,Yes,Academy Del Sol,Regular school,040079702994,90200,Academy Del Sol Inc. (90199),Charter agency,0400797,90199,155,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Arizona,AZ,School,Yes,Academy Del Sol,Regular school,040079702994,90200,Academy Del Sol Inc. (90199),Charter agency,0400797,90199,155,Monthly,12/1/20,12/31/20,Hybrid,,,,Hybrid,,,,,,,,
Arizona,AZ,School,Yes,Academy Del Sol,Regular school,040079702994,90200,Academy Del Sol Inc. (90199),Charter agency,0400797,90199,155,Monthly,1/1/21,1/31/21,Hybrid,,,,Hybrid,,,,,,,,
