StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,9/1/20,9/30/20,,,,,,,,,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,10/1/20,10/31/20,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,11/1/20,11/30/20,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,12/1/20,12/31/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,1/1/21,1/31/21,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,2/1/21,2/28/21,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,3/1/21,3/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,4/1/21,4/30/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Academy School District 20,Regional education service agency,800237,1040,25463,Monthly,5/1/21,5/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,3607,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,9/1/20,9/30/20,,,,,,,,,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,10/1/20,10/31/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,11/1/20,11/30/20,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,12/1/20,12/31/20,,Virtual,Hybrid,Hybrid,,Remote,Hybrid,Hybrid,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,1/1/21,1/31/21,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,2/1/21,2/28/21,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,3/1/21,3/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,4/1/21,4/30/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,4829,
Colorado,CO,District,No,,,,,Adams 12 Five Star Schools,Regular local school district,806900,20,35817,Monthly,5/1/21,5/31/21,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,4829,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,9/1/20,9/30/20,,,,,,,,,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,10/1/20,10/31/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,11/1/20,11/30/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,12/1/20,12/31/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,1/1/21,1/31/21,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,2/1/21,2/28/21,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,3/1/21,3/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,4/1/21,4/30/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,5671,
Colorado,CO,District,No,,,,,Adams Arapahoe 28J (Aurora),Regular local school district,802340,180,36396,Monthly,5/1/21,5/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,5671,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,9/1/20,9/30/20,,,,,,,,,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,10/1/20,10/31/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,11/1/20,11/30/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,12/1/20,12/31/20,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,1/1/21,1/31/21,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,2/1/21,2/28/21,,Virtual,Virtual,Virtual,,Remote,Remote,Remote,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,3/1/21,3/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,4/1/21,4/30/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,830,
Colorado,CO,District,No,,,,,Adams County 14,Regular local school district,801950,30,5725,Monthly,5/1/21,5/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,830,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,9/1/20,9/30/20,,,,,,,,,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,10/1/20,10/31/20,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,11/1/20,11/30/20,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,12/1/20,12/31/20,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,1/1/21,1/31/21,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,2/1/21,2/28/21,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,3/1/21,3/31/21,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,4/1/21,4/30/21,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGATE 300,Regular local school district,801980,960,64,Monthly,5/1/21,5/31/21,,In-person,In-person,In-person,,In-person,In-person,In-person,,,,20,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,9/1/20,9/30/20,,,,,,,,,,,,24,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,10/1/20,10/31/20,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,24,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,11/1/20,11/30/20,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,24,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,12/1/20,12/31/20,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,24,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,1/1/21,1/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,24,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,2/1/21,2/28/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,24,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,3/1/21,3/31/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,24,
Colorado,CO,District,No,,,,,AGUILAR REORGANIZED 6,Regular local school district,802010,1620,88,Monthly,4/1/21,4/30/21,,In-person,Hybrid,Hybrid,,In-person,Hybrid,Hybrid,,,,24,
