StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,841,Weekly,8/31/20,9/4/20,,Virtual,Virtual,,,Remote,Remote,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,838,Weekly,9/7/20,9/11/20,,Virtual,Virtual,,,Remote,Remote,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,833,Weekly,9/14/20,9/18/20,,Virtual,Virtual,,,Remote,Remote,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,842,Weekly,9/21/20,9/25/20,,Virtual,Virtual,,,Remote,Remote,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,851,Weekly,9/28/20,10/2/20,,Virtual,Virtual,,,Remote,Remote,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,879,Weekly,10/5/20,10/9/20,,Hybrid,Hybrid,,,Hybrid,Hybrid,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,854,Weekly,10/12/20,10/16/20,,Hybrid,Hybrid,Hybrid,,Hybrid,Hybrid,Hybrid,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,853,Weekly,10/19/20,10/23/20,,Hybrid,Hybrid,,,Hybrid,Hybrid,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,853,Weekly,10/26/20,10/30/20,,Virtual,Hybrid,Hybrid,,Remote,Hybrid,Hybrid,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,852,Weekly,11/2/20,11/6/20,,Virtual,Virtual,,,Remote,Remote,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,852,Weekly,11/9/20,11/13/20,,Virtual,Virtual,,,Remote,Remote,,,,,79,
Connecticut,CT,District,Yes,,,,,Achievement First Bridgeport Academy District,Charter agency,0900208,2850013,1127,Weekly,11/16/20,11/20/20,Virtual,Virtual,Virtual,,Most Grades Fully Remote,Remote,Remote,,,,,79,
