StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Florida,FL,School,No,A. Crawford Mosley High School,Regular school,120009000067,491,Bay,Regular local school district,1200090,3,1784,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,1281,0,503,120,
Florida,FL,School,No,A. Crawford Mosley High School,Regular school,120009000067,491,Bay,Regular local school district,1200090,3,1750,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,1589,0,161,120,
Florida,FL,School,No,A. K. Suter Elementary School,Regular school,120051000811,501,Escambia,Regular local school district,1200510,17,462,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,334,0,128,58,
Florida,FL,School,No,A. K. Suter Elementary School,Regular school,120051000811,501,Escambia,Regular local school district,1200510,17,485,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,431,0,54,58,
Florida,FL,School,No,A. L. Mebane Middle School,Regular school,120003000018,221,Alachua,Regular local school district,1200030,1,334,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,180,0,154,24,
Florida,FL,School,No,A. L. Mebane Middle School,Regular school,120003000018,221,Alachua,Regular local school district,1200030,1,342,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,260,0,82,24,
Florida,FL,School,No,A. Philip Randolph Academies,Regular school,120048000773,2851,Duval,Regular local school district,1200480,16,432,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,117,0,315,43,
Florida,FL,School,No,A. Philip Randolph Academies,Regular school,120048000773,2851,Duval,Regular local school district,1200480,16,421,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,149,0,272,43,
Florida,FL,School,No,A.Quinn Jones Center,Other/alternative school,120003000004,1952,Alachua,Regular local school district,1200030,1,67,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,43,0,24,26,
Florida,FL,School,No,A.Quinn Jones Center,Other/alternative school,120003000004,1952,Alachua,Regular local school district,1200030,1,68,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,49,0,19,26,
Florida,FL,School,No,Abess Park Elementary School,Regular school,120048003173,2631,Duval,Regular local school district,1200480,16,563,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,346,0,217,68,
Florida,FL,School,No,Abess Park Elementary School,Regular school,120048003173,2631,Duval,Regular local school district,1200480,16,584,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,439,0,145,68,
Florida,FL,School,No,Abraham Lincoln Middle School,Regular school,120003000010,112,Alachua,Regular local school district,1200030,1,742,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,305,0,437,51,
Florida,FL,School,No,Abraham Lincoln Middle School,Regular school,120003000010,112,Alachua,Regular local school district,1200030,1,747,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,218,0,529,51,
Florida,FL,School,Yes,Academie Da Vinci Charter School,Regular school,120156003255,7131,Pinellas,Regular local school district,1201560,52,345,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,228,0,117,33,
Florida,FL,School,Yes,Academie Da Vinci Charter School,Regular school,120156003255,7131,Pinellas,Regular local school district,1201560,52,343,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,278,0,65,33,
Florida,FL,School,Yes,Academir Charter School Middle,Regular school,120039008218,6082,Miami-Dade,Regular local school district,1200390,13,327,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,108,0,219,27,
Florida,FL,School,Yes,Academir Charter School Middle,Regular school,120039008218,6082,Miami-Dade,Regular local school district,1200390,13,327,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,170,0,157,27,
Florida,FL,School,Yes,Academir Charter School Preparatory,Regular school,120039008518,1015,Miami-Dade,Regular local school district,1200390,13,969,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,420,0,549,62,
Florida,FL,School,Yes,Academir Charter School Preparatory,Regular school,120039008518,1015,Miami-Dade,Regular local school district,1200390,13,972,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,652,0,320,62,
Florida,FL,School,Yes,Academir Charter School West,Regular school,120039007540,410,Miami-Dade,Regular local school district,1200390,13,623,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,201,0,422,49,
Florida,FL,School,Yes,Academir Charter School West,Regular school,120039007540,410,Miami-Dade,Regular local school district,1200390,13,620,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,443,0,177,49,
Florida,FL,School,Yes,Academir Preparatory Academy,Regular school,120039008481,2002,Miami-Dade,Regular local school district,1200390,13,426,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,195,0,231,22,
Florida,FL,School,Yes,Academir Preparatory Academy,Regular school,120039008481,2002,Miami-Dade,Regular local school district,1200390,13,433,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,280,0,153,22,
Florida,FL,School,Yes,Academy At The Farm,Regular school,120153003913,4302,Pasco,Regular local school district,1201530,51,625,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,504,0,121,122,
Florida,FL,School,Yes,Academy At The Farm,Regular school,120153003913,4302,Pasco,Regular local school district,1201530,51,625,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,560,0,65,122,
Florida,FL,School,Yes,Academy For International Education Charter,Regular school,120039007841,5044,Miami-Dade,Regular local school district,1200390,13,393,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,212,0,181,35,
Florida,FL,School,Yes,Academy For International Education Charter,Regular school,120039007841,5044,Miami-Dade,Regular local school district,1200390,13,393,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,256,0,137,35,
Florida,FL,School,Yes,Academy Of Environmental Science,Regular school,120027004326,215,Citrus,Regular local school district,1200270,9,118,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,118,0,0,,
Florida,FL,School,Yes,Academy Of Environmental Science,Regular school,120027004326,215,Citrus,Regular local school district,1200270,9,108,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,108,0,0,,
Florida,FL,School,No,Acceleration Academy St.,Other/alternative school,120177008545,212,St. Lucie,Regular local school district,1201770,56,225,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,225,0,0,8,
Florida,FL,School,No,Acceleration Academy St.,Other/alternative school,120177008545,212,St. Lucie,Regular local school district,1201770,56,207,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,207,0,0,8,
Florida,FL,School,No,Acceleration East,Other/alternative school,120144007736,1811,Orange,Regular local school district,1201440,48,177,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,62,0,115,31,
Florida,FL,School,No,Acceleration East,Other/alternative school,120144007736,1811,Orange,Regular local school district,1201440,48,173,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,91,0,82,31,
Florida,FL,School,No,Acceleration West,Other/alternative school,120144008097,1841,Orange,Regular local school district,1201440,48,253,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,125,0,128,42,
Florida,FL,School,No,Acceleration West,Other/alternative school,120144008097,1841,Orange,Regular local school district,1201440,48,242,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,179,0,63,42,
Florida,FL,School,Yes,Access Charter,Special education school,120144007952,177,Orange,Regular local school district,1201440,48,135,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,73,0,62,33,
Florida,FL,School,Yes,Access Charter,Special education school,120144007952,177,Orange,Regular local school district,1201440,48,131,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,87,0,44,33,
Florida,FL,School,No,Achieve Center Of Pasco,Other/alternative school,120153008219,2102,Pasco,Regular local school district,1201530,51,54,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,31,0,23,31,
Florida,FL,School,No,Achieve Center Of Pasco,Other/alternative school,120153008219,2102,Pasco,Regular local school district,1201530,51,49,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,30,0,19,31,
Florida,FL,School,Yes,Achievement Academy,Special education school,120159003259,8031,Polk,Regular local school district,1201590,53,151,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,151,0,0,73,
Florida,FL,School,Yes,Achievement Academy,Special education school,120159003259,8031,Polk,Regular local school district,1201590,53,157,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,157,0,0,73,
Florida,FL,School,No,Acreage Pines Elementary School,Regular school,120150002874,2141,Palm Beach,Regular local school district,1201500,50,507,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,289,0,218,69,
Florida,FL,School,No,Acreage Pines Elementary School,Regular school,120150002874,2141,Palm Beach,Regular local school district,1201500,50,525,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,377,0,148,69,
Florida,FL,School,No,Ada Merritt K-8 Center,Regular school,120039004072,3191,Miami-Dade,Regular local school district,1200390,13,760,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,505,0,255,69,
Florida,FL,School,No,Ada Merritt K-8 Center,Regular school,120039004072,3191,Miami-Dade,Regular local school district,1200390,13,747,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,528,0,219,69,
Florida,FL,School,No,Adams Middle School,Regular school,120087000909,41,Hillsborough,Regular local school district,1200870,29,706,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,411,0,295,94,
Florida,FL,School,No,Adams Middle School,Regular school,120087000909,41,Hillsborough,Regular local school district,1200870,29,688,Bi-annually,1/1/21,6/1/21,In-person,,,,,,,,398,0,290,94,
Florida,FL,School,No,Addie R. Lewis School,Regular school,120138001353,671,Okaloosa,Regular local school district,1201380,46,733,Bi-annually,9/1/20,12/31/20,In-person,,,,,,,,551,0,182,83,
