StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,8/31/20,9/4/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,9/7/20,9/11/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,9/14/20,9/18/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 26-50% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,9/21/20,9/25/20,,Virtual,Virtual,Virtual,,"0% Hybrid, 100% Remote","0% Hybrid, 100% Remote","0% Hybrid, 100% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,9/28/20,10/2/20,,Virtual,Virtual,Virtual,,"0% Hybrid, 100% Remote","0% Hybrid, 100% Remote","0% Hybrid, 100% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,10/5/20,10/9/20,,In-person,In-person,Virtual,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 100% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,10/12/20,10/16/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,10/19/20,10/23/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,10/26/20,10/30/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,11/2/20,11/6/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,11/9/20,11/13/20,,In-person,Virtual,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 100% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,11/16/20,11/20/20,,In-person,Virtual,In-person,,"0% Hybrid, 26-50% Remote","0% Hybrid, 100% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,11/23/20,11/27/20,,In-person,Virtual,In-person,,"0% Hybrid, 26-50% Remote","0% Hybrid, 100% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,11/30/20,12/4/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,12/7/20,12/11/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,12/14/20,12/18/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,12/21/20,12/25/20,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,1/4/21,1/8/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,1/11/21,1/15/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,1/18/21,1/22/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,1/25/21,1/29/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,2/1/21,2/5/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,2/8/21,2/12/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,2/15/21,2/19/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,2/22/21,2/26/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,3/1/21,3/5/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,3/8/21,3/12/21,,In-person,In-person,In-person,,"0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote","0% Hybrid, 1-25% Remote",,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,3/15/21,3/19/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,3/22/21,3/26/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,3/29/21,4/2/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,4/5/21,4/9/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,4/12/21,4/16/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,4/19/21,4/23/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,4/26/21,4/30/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,5/3/21,5/7/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,5/10/21,5/14/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,5/17/21,5/21/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
Kansas,KS,District,No,,,,,Abilene,Regular local school district,2003180,D0435,1453,Weekly,5/24/21,5/28/21,,In-person,In-person,In-person,,100% In-person,100% In-person,100% In-person,,,,117.1,
