StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,9/1/20,9/30/20,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,10/1/20,10/31/20,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,11/1/20,11/30/20,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,12/1/20,12/31/20,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,1/1/21,1/31/21,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,2/1/21,2/28/21,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,3/1/21,3/31/21,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,4/1/21,4/30/21,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,5/1/21,5/31/21,In-person,,,,Mostly In-Person,,,,,,,39,
Maine,ME,School,No,Abraham Lincoln School,Regular school,2.30282E+11,45,Bangor Public Schools,Regular local school district,2302820,42,183,Monthly,6/1/21,6/30/21,In-person,,,,Mostly In-Person,,,,,,,39,
