StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,8/26/20,9/30/20,,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,10/1/20,10/31/20,,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,11/1/20,11/20/20,,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,12/1/20,12/31/20,,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,1/1/21,1/31/21,,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,0,8075,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Monthly,2/1/21,2/28/21,,Virtual,Virtual,Virtual,[no change toward phased re-opening reported],,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/1/21,3/7/21,,Virtual,Virtual,Virtual,PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/8/21,3/14/21,,Hybrid,Virtual,Hybrid,"2-5, 6, 9&12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom",,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/15/21,3/21/21,,Hybrid,Hybrid,Hybrid,7-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6056,2019,809,
Maryland,MD,District,No,,,,,Allegany,Regular local school district,2400030,MD-01,8075,Weekly,3/22/21,3/28/21,,Hybrid,Hybrid,Hybrid,7-12: 2 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom; PreK-1: 4 full days per week of in-person instruction with a teacher face-to-face with their students in the classroom,,,,0,6056,2019,809,
