StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,9/3/20,9/16/20,,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,9/17/20,9/30/20,,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,10/1/20,10/14/20,Hybrid,,,,,,,,0,170,1309,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,10/15/20,10/28/20,Hybrid,,,,,,,,0,168,1265,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,10/30/20,11/12/20,Hybrid,,,,,,,,0,175,1259,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,11/12/20,11/25/20,Hybrid,,,,,,,,0,175,1260,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,12/4/20,12/17/20,Hybrid,,,,,,,,0,165,1317,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,1/7/21,1/20/21,Hybrid,,,,,,,,0,187,1296,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,1/21/21,2/3/21,Hybrid,,,,,,,,0,195,1292,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,2/4/21,2/17/21,Hybrid,,,,,,,,0,461,1026,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,2/18/21,3/3/21,Hybrid,,,,,,,,0,587,898,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,3/4/21,3/17/21,Hybrid,,,,,,,,0,650,835,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,3/18/21,3/31/21,Hybrid,,,,,,,,0,659,782,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,4/1/21,4/14/21,,,,,,,,,,,,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,4/15/21,4/28/21,In-person,,,,,,,,736,104,584,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,4/29/21,5/12/21,In-person,,,,,,,,919,0,505,        182.2,
Massachusetts,MA,District,Yes,,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,4450000,1425,Bi-weekly,5/13/21,5/26/21,In-person,,,,,,,,926,0,498,        182.2,
Massachusetts,MA,District,No,,,,,Abington,Regular local school district,2501650,10000,2058,Bi-weekly,9/3/20,9/16/20,,,,,,,,,,,,,
Massachusetts,MA,District,No,,,,,Abington,Regular local school district,2501650,10000,2058,Bi-weekly,9/17/20,9/30/20,,,,,,,,,,,,,
Massachusetts,MA,District,No,,,,,Abington,Regular local school district,2501650,10000,2058,Bi-weekly,10/1/20,10/14/20,Hybrid,,,,,,,,114,1750,258,        269.1,
Massachusetts,MA,District,No,,,,,Abington,Regular local school district,2501650,10000,2058,Bi-weekly,10/15/20,10/28/20,Hybrid,,,,,,,,116,1783,259,        269.1,
