StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,82,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid option,,,,,51,31,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,82,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid option,,,,,51,31,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,82,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid option,,,,,51,31,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,82,Monthly,12/1/20,12/31/20,Virtual,,,,Fully remote only,,,,,,82,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,82,Monthly,1/1/21,1/31/21,Hybrid,,,,Hybrid option,,,,,51,31,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,84,Monthly,2/1/21,2/28/21,Hybrid,,,,Hybrid option,,,,,52,32,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,84,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid option,,,,,52,32,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,84,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid option,,,,,52,32,26,
Michigan,MI,District,Yes,,,,,Academic and Career Education Academy,Charter agency,2600330,56903,84,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid option,,,,,52,32,26,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,539,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid option,,,,,205,334,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,539,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid option,,,,,205,334,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,539,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid option,,,,,334,469,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,539,Monthly,12/1/20,12/31/20,Virtual,,,,Fully remote only,,,,,,539,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,539,Monthly,1/1/21,1/31/21,Virtual,,,,Fully remote only,,,,,,539,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,529,Monthly,2/1/21,2/28/21,Hybrid,,,,Hybrid option,,,,,328,328,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,529,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid option,,,,,328,328,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,529,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid option,,,,,328,328,84,
Michigan,MI,District,Yes,,,,,Academy for Business and Technology,Charter agency,2600166,82921,529,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid option,,,,,328,328,84,
Michigan,MI,District,Yes,,,,,Academy of Warren,Charter agency,2600308,50911,644,Monthly,9/1/20,9/30/20,Virtual,,,,Fully remote only,,,,,,644,83,
Michigan,MI,District,Yes,,,,,Academy of Warren,Charter agency,2600308,50911,644,Monthly,10/1/20,10/31/20,Virtual,,,,Fully remote only,,,,,,644,83,
Michigan,MI,District,Yes,,,,,Academy of Warren,Charter agency,2600308,50911,644,Monthly,11/1/20,11/30/20,Virtual,,,,Fully remote only,,,,,,644,83,
Michigan,MI,District,Yes,,,,,Academy of Warren,Charter agency,2600308,50911,644,Monthly,12/1/20,12/31/20,Virtual,,,,Fully remote only,,,,,,644,83,
Michigan,MI,District,Yes,,,,,Academy of Warren,Charter agency,2600308,50911,644,Monthly,1/1/21,1/31/21,Virtual,,,,Fully remote only,,,,,,644,83,
