StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,8/1/20,8/31/20,Virtual,,,,Full Remote,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,9/1/20,9/30/20,Virtual,,,,Full Remote,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,10/1/20,10/31/20,Virtual,,,,Full Remote,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,11/1/20,11/30/20,Virtual,,,,Full Remote,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,12/1/20,12/31/20,Virtual,,,,Full Remote,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,1/1/21,1/31/21,Virtual,,,,Full Remote,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,2/1/21,2/28/21,Virtual,,,,Full Remote,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Nevada,NV,School,No,Democracy Prep At Agassi Elementary,Regular school,3.20002E+11,46100,Achievement School District,Regular local school district,3200022,18,512,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid,,,,,,,,
