StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,12/1/20,12/31/20,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,1/1/21,1/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,2/1/21,2/28/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,3/1/21,3/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,4/1/21,4/30/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Abbeville 60,Regular local school district,4500690,160,2831,Monthly,5/1/21,5/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,12/1/20,12/31/20,Hybrid,,,,Hybrid,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,1/1/21,1/31/21,Hybrid,,,,Hybrid,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,2/1/21,2/28/21,Hybrid,,,,Hybrid,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,3/1/21,3/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,4/1/21,4/30/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Aiken 01,Regular local school district,4500720,201,21849,Monthly,5/1/21,5/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,12/1/20,12/31/20,Hybrid,,,,Hybrid,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,1/1/21,1/31/21,Hybrid,,,,Hybrid,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,2/1/21,2/28/21,Virtual,,,,Full Remote Learning,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,3/1/21,3/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,4/1/21,4/30/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Allendale 01,Regular local school district,4500750,301,1001,Monthly,5/1/21,5/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,12/1/20,12/31/20,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,1/1/21,1/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,2/1/21,2/28/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,3/1/21,3/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,4/1/21,4/30/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 01,Regular local school district,4500780,401,9911,Monthly,5/1/21,5/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,10/1/20,10/31/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,11/1/20,11/30/20,,,,,,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,12/1/20,12/31/20,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,1/1/21,1/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,2/1/21,2/28/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,3/1/21,3/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,4/1/21,4/30/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 02,Regular local school district,4500810,402,3291,Monthly,5/1/21,5/31/21,In-person,,,,Full Face to Face,,,,,,,,
South Carolina,SC,District,No,,,,,Anderson 03,Regular local school district,4500840,403,2420,Monthly,9/1/20,9/30/20,,,,,,,,,,,,,
