StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,487,Monthly,8/17/20,8/31/20,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,487,Monthly,9/1/20,9/30/20,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,486,Monthly,10/1/20,10/31/20,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,483,Monthly,11/1/20,11/30/20,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,481,Monthly,12/1/20,12/31/20,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,477,Monthly,1/1/21,1/31/21,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,470,Monthly,2/1/21,2/28/21,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,467,Monthly,3/1/21,3/31/21,Virtual,,,,V,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,465,Monthly,4/1/21,4/30/21,In-person,,,,I,,,,,,,26,
Utah,UT,School,Yes,Academy for Math Engineering & Science,Regular school,490001700904,110575,Academy for Math Engineering & Science,Charter agency,4900017,83,465,Monthly,5/1/21,5/31/21,In-person,,,,I,,,,,,,26,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,641,Monthly,8/18/20,8/31/20,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,641,Monthly,9/1/20,9/30/20,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,640,Monthly,10/1/20,10/31/20,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,640,Monthly,11/1/20,11/30/20,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,640,Monthly,12/1/20,12/31/20,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,639,Monthly,1/1/21,1/31/21,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,641,Monthly,2/1/21,2/28/21,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,639,Monthly,3/1/21,3/31/21,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,646,Monthly,4/1/21,4/30/21,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,Alpine School,Regular school,490003000001,132,Alpine District,Regular local school district,4900030,1,644,Monthly,5/1/21,5/31/21,Hybrid,,,,H,,,,,,,33,
Utah,UT,School,No,American Fork High,Regular school,490003000002,180,Alpine District,Regular local school district,4900030,1,2445,Monthly,8/18/20,8/31/20,Hybrid,,,,H,,,,,,,122,
Utah,UT,School,No,American Fork High,Regular school,490003000002,180,Alpine District,Regular local school district,4900030,1,2445,Monthly,9/1/20,9/30/20,Hybrid,,,,H,,,,,,,122,
Utah,UT,School,No,American Fork High,Regular school,490003000002,180,Alpine District,Regular local school district,4900030,1,2456,Monthly,10/1/20,10/31/20,Hybrid,,,,H,,,,,,,122,
Utah,UT,School,No,American Fork High,Regular school,490003000002,180,Alpine District,Regular local school district,4900030,1,2452,Monthly,11/1/20,11/30/20,Hybrid,,,,H,,,,,,,122,
Utah,UT,School,No,American Fork High,Regular school,490003000002,180,Alpine District,Regular local school district,4900030,1,2453,Monthly,12/1/20,12/31/20,Hybrid,,,,H,,,,,,,122,
Utah,UT,School,No,American Fork High,Regular school,490003000002,180,Alpine District,Regular local school district,4900030,1,2450,Monthly,1/1/21,1/31/21,Hybrid,,,,H,,,,,,,122,
