StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Biweekly,9/8/20,9/21/20,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Monthly,9/22/20,11/11/20,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Monthly,11/12/20,12/13/20,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Monthly,12/14/20,1/25/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Monthly,1/26/21,2/15/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Weekly,2/16/21,2/21/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Weekly,2/22/21,2/28/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Weekly,3/1/21,3/7/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Weekly,3/8/21,3/14/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Weekly,3/15/21,3/21/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Biweekly,3/22/21,4/4/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Biweekly,4/5/21,4/18/21,Hybrid,,,,All Hybrid,,,,,,,366,
Virginia,VA,District,No,,,,,Accomack County,Regular local school district,5100060,1,4740,Weekly,4/19/21,4/25/21,Hybrid,,,,Partial In Person,,,,,,,366,
