StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,1/18/21,1/25/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,2/1/21,2/8/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,2/15/21,2/22/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,3/8/21,3/15/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,3/15/21,3/22/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,3/22/21,3/29/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,4/19/21,4/26/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,4/26/21,5/3/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,5/3/21,5/10/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,0,Weekly,5/24/21,5/31/21,,,,,,,,,0,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,2/8/21,2/15/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,2/22/21,3/1/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,3/1/21,3/8/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,3/29/21,4/5/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,4/12/21,4/19/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,5/10/21,5/17/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,5/17/21,5/24/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,168,Weekly,5/31/21,6/7/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,Not Applicable,133,,,16.63,
Washington,WA,District,Yes,,,,,Catalyst Public Schools,Charter agency,5300347,18901,336,Weekly,1/25/21,2/1/21,,Hybrid,Hybrid,,,Partial In-Person for All Students,Partial In-Person for All Students,,268,,,16.63,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,0,Weekly,3/1/21,3/8/21,,,,,,,,,0,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,3/8/21,3/15/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,3/15/21,3/22/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,3/22/21,3/29/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,3/29/21,4/5/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,4/12/21,4/19/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,4/19/21,4/26/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,4/26/21,5/3/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,5/3/21,5/10/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,5/10/21,5/17/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,5/17/21,5/24/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,5/24/21,5/31/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,406,Weekly,5/31/21,6/7/21,,Hybrid,,,,Partial In-Person for All Students,Not Applicable,Not Applicable,168,,,31.97,
Washington,WA,District,Yes,,,,,Impact | Puget Sound Elementary,Charter agency,5300345,17911,408,Weekly,1/18/21,1/25/21,,Virtual,,,,100% Remote,,,0,,,31.97,
